Country,Year,MismanagedPlastic
China,2000,10350894
China,2001,11011444
China,2002,11856329
China,2003,12626884
China,2004,13483460
China,2005,14150368
China,2006,14978694
China,2007,15803812
China,2008,15907054
China,2009,16354477
China,2010,17217424
China,2011,17758224
China,2012,18039242
China,2013,18188502
China,2014,18450720
China,2015,18448486
China,2016,18205878
China,2017,17901154
China,2018,17046954
China,2019,17462668
India,2000,2359011
India,2001,2567475
India,2002,2822789
India,2003,3072402
India,2004,3350256
India,2005,3595685
India,2006,3888038
India,2007,4193827
India,2008,4344496
India,2009,4587107
India,2010,5035518
India,2011,5436582
India,2012,5808127
India,2013,6225948
India,2014,6641710
India,2015,6936626
India,2016,7340763
India,2017,7743059
India,2018,8119849
India,2019,8457541
United States,2000,3638777
United States,2001,3641029
United States,2002,3680473
United States,2003,3692642
United States,2004,3713553
United States,2005,3685981
United States,2006,3683387
United States,2007,3673731
United States,2008,3534963
United States,2009,3457134
United States,2010,3442054
United States,2011,3364751
United States,2012,3264327
United States,2013,3160712
United States,2014,3030476
United States,2015,2916320
United States,2016,2835037
United States,2017,2703756
United States,2018,2587329
United States,2019,2448288
